household_id,year,county,annual_income_usd,rent_burden_ratio,eviction_notice,prior_homeless_experience,num_children,any_disability,eviction_filed_next_6mo
10000,2022,Arlington,28598.95,0.394,0,0,2.0,0,0
10001,2022,Arlington,20974.07,0.494,0,0,1.0,0,0
10002,2022,Arlington,17007.48,0.324,0,0,1.0,0,0
10003,2022,Arlington,16746.04,0.215,0,0,0.0,0,0
10004,2022,Arlington,23821.57,0.582,0,0,0.0,0,0
10005,2022,Arlington,,0.441,0,0,1.0,0,0
10006,2022,Arlington,9712.78,0.311,1,0,1.0,0,0
10007,2022,Arlington,23383.83,0.185,0,0,1.0,0,0
10008,2022,Arlington,23276.39,0.478,0,0,0.0,0,0
10009,2022,Arlington,28387.68,0.509,0,0,2.0,0,0
10010,2022,Arlington,28320.96,0.524,0,0,,0,0
10011,2022,Arlington,18506.06,0.479,0,0,3.0,0,0
10012,2022,Arlington,41762.72,0.331,0,1,0.0,0,0
10013,2022,Arlington,7270.57,0.21,0,0,3.0,0,0
10014,2022,Arlington,5922.22,0.311,0,0,0.0,0,0
10015,2022,Arlington,16971.65,0.407,0,0,0.0,0,0
10016,2022,Arlington,9791.82,0.463,0,0,2.0,0,0
10017,2022,Arlington,27361.02,0.339,0,0,0.0,0,0
10018,2022,Arlington,36205.45,0.161,0,0,0.0,0,0
10019,2022,Arlington,13987.19,0.432,0,0,2.0,0,0
10020,2022,Arlington,35175.48,0.419,0,0,3.0,0,1
10021,2022,Arlington,24158.83,0.261,0,0,1.0,0,0
10022,2022,Arlington,10461.18,0.277,0,0,0.0,0,0
10023,2022,Arlington,23087.86,0.509,1,0,0.0,1,0
10024,2022,Arlington,57047.89,0.456,1,1,1.0,0,1
10025,2022,Arlington,32113.7,0.254,0,0,0.0,0,0
10026,2022,Arlington,61384.1,,0,0,0.0,0,0
10027,2022,Arlington,22033.99,0.589,0,0,0.0,0,0
10028,2022,Arlington,13454.89,0.452,0,0,0.0,0,0
10029,2022,Arlington,19109.15,0.342,0,0,0.0,0,0
10030,2022,Arlington,29679.76,0.559,0,0,2.0,1,1
10031,2022,Arlington,16040.26,0.303,0,0,0.0,0,0
10032,2022,Arlington,25067.58,0.286,0,0,1.0,0,1
10033,2022,Arlington,24498.57,0.457,0,0,1.0,0,0
10034,2022,Arlington,26547.06,0.212,0,0,4.0,0,0
10035,2022,Arlington,25749.98,0.467,0,0,0.0,0,0
10036,2022,Arlington,22847.53,0.364,0,0,0.0,0,0
10037,2022,Arlington,20432.43,,0,0,1.0,0,0
10038,2022,Arlington,16374.23,0.527,0,0,1.0,0,0
10039,2022,Arlington,25779.97,0.334,0,0,3.0,0,1
10040,2022,Arlington,36252.45,0.327,0,0,2.0,0,0
10041,2022,Arlington,15293.26,0.384,0,0,1.0,0,1
10042,2022,Arlington,20116.09,0.448,0,0,1.0,0,0
10043,2022,Arlington,20885.94,0.442,0,0,0.0,0,0
10044,2022,Arlington,34485.5,0.598,0,0,1.0,0,1
10045,2022,Arlington,9545.98,0.249,0,0,2.0,0,0
10046,2022,Arlington,25870.0,0.344,0,0,1.0,0,0
10047,2022,Arlington,23957.34,0.2,0,1,0.0,0,0
