month,county,avg_rent_usd
2018-01-01,Arlington,1348.75
2018-02-01,Arlington,1322.96
2018-03-01,Arlington,1352.22
2018-04-01,Arlington,1313.55
2018-05-01,Arlington,1313.52
2018-06-01,Arlington,1321.06
2018-07-01,Arlington,1352.83
2018-08-01,Arlington,1328.74
2018-09-01,Arlington,1164.37
2018-10-01,Arlington,1294.39
2018-11-01,Arlington,1296.49
2018-12-01,Arlington,1320.89
2019-01-01,Arlington,1348.68
2019-02-01,Arlington,1395.25
2019-03-01,Arlington,1374.21
2019-04-01,Arlington,1387.55
2019-05-01,Arlington,1356.81
2019-06-01,Arlington,1328.14
2019-07-01,Arlington,1344.36
2019-08-01,Arlington,1373.23
2019-09-01,Arlington,1234.51
2019-10-01,Arlington,1296.09
2019-11-01,Arlington,1333.16
2019-12-01,Arlington,1275.16
2020-01-01,Arlington,1305.05
2020-02-01,Arlington,1375.25
2020-03-01,Arlington,1447.07
2020-04-01,Arlington,1329.55
2020-05-01,Arlington,1347.97
2020-06-01,Arlington,1311.34
2020-07-01,Arlington,1268.54
2020-08-01,Arlington,1248.06
2020-09-01,Arlington,1152.44
2020-10-01,Arlington,1181.06
2020-11-01,Arlington,1344.11
2020-12-01,Arlington,1357.51
2021-01-01,Arlington,1417.93
2021-02-01,Arlington,1474.52
2021-03-01,Arlington,1419.89
2021-04-01,Arlington,1413.65
2021-05-01,Arlington,1461.16
2021-06-01,Arlington,1440.54
2021-07-01,Arlington,1382.9
2021-08-01,Arlington,1372.76
2021-09-01,Arlington,1330.77
2021-10-01,Arlington,1282.22
2021-11-01,Arlington,1385.02
2021-12-01,Arlington,1336.84
2022-01-01,Arlington,1567.34
2022-02-01,Arlington,1424.44
2022-03-01,Arlington,1459.45
2022-04-01,Arlington,1516.63
2022-05-01,Arlington,1542.57
2022-06-01,Arlington,1482.55
2022-07-01,Arlington,1378.07
2022-08-01,Arlington,1357.25
2022-09-01,Arlington,1379.72
2022-10-01,Arlington,1351.99
2022-11-01,Arlington,1388.31
2022-12-01,Arlington,1391.47
2023-01-01,Arlington,1434.14
2023-02-01,Arlington,1456.88
2023-03-01,Arlington,1436.66
2023-04-01,Arlington,1485.18
2023-05-01,Arlington,1435.24
2023-06-01,Arlington,1368.91
2023-07-01,Arlington,1330.07
2023-08-01,Arlington,1390.17
2023-09-01,Arlington,1403.11
2023-10-01,Arlington,1380.99
2023-11-01,Arlington,1454.45
2023-12-01,Arlington,1523.41
2024-01-01,Arlington,1454.55
2024-02-01,Arlington,1488.22
2024-03-01,Arlington,1467.56
2024-04-01,Arlington,1624.12
2024-05-01,Arlington,1493.26
2024-06-01,Arlington,1437.03
2024-07-01,Arlington,1473.54
2024-08-01,Arlington,1417.11
2024-09-01,Arlington,1415.22
2024-10-01,Arlington,1430.95
2024-11-01,Arlington,1383.86
2024-12-01,Arlington,1503.63
2018-01-01,Fairfax,1831.5
2018-02-01,Fairfax,1912.56
2018-03-01,Fairfax,1869.88
2018-04-01,Fairfax,1871.31
2018-05-01,Fairfax,1876.03
2018-06-01,Fairfax,1874.01
2018-07-01,Fairfax,1862.83
2018-08-01,Fairfax,1773.17
2018-09-01,Fairfax,1848.76
2018-10-01,Fairfax,1812.21
2018-11-01,Fairfax,1869.96
2018-12-01,Fairfax,1908.81
2019-01-01,Fairfax,1848.03
2019-02-01,Fairfax,1866.51
2019-03-01,Fairfax,1917.91
2019-04-01,Fairfax,1890.8
2019-05-01,Fairfax,1929.44
2019-06-01,Fairfax,1908.16
2019-07-01,Fairfax,1945.11
2019-08-01,Fairfax,1833.94
2019-09-01,Fairfax,1834.78
2019-10-01,Fairfax,1872.68
2019-11-01,Fairfax,1910.62
2019-12-01,Fairfax,1841.55
2020-01-01,Fairfax,1930.94
2020-02-01,Fairfax,1876.21
2020-03-01,Fairfax,1885.84
2020-04-01,Fairfax,1948.91
2020-05-01,Fairfax,1851.18
2020-06-01,Fairfax,1837.32
2020-07-01,Fairfax,1763.92
2020-08-01,Fairfax,1745.0
2020-09-01,Fairfax,1722.7
2020-10-01,Fairfax,1741.58
2020-11-01,Fairfax,1866.81
2020-12-01,Fairfax,1953.6
2021-01-01,Fairfax,1962.65
2021-02-01,Fairfax,1918.83
2021-03-01,Fairfax,1912.01
2021-04-01,Fairfax,1978.28
2021-05-01,Fairfax,1902.13
2021-06-01,Fairfax,1897.4
2021-07-01,Fairfax,1890.63
2021-08-01,Fairfax,1911.81
2021-09-01,Fairfax,1782.56
2021-10-01,Fairfax,1985.15
2021-11-01,Fairfax,1903.36
2021-12-01,Fairfax,1923.21
2022-01-01,Fairfax,1940.13
2022-02-01,Fairfax,1895.7
2022-03-01,Fairfax,2072.92
2022-04-01,Fairfax,1956.3
2022-05-01,Fairfax,1935.28
2022-06-01,Fairfax,1933.16
2022-07-01,Fairfax,1921.72
2022-08-01,Fairfax,1856.73
2022-09-01,Fairfax,1953.74
2022-10-01,Fairfax,1843.97
2022-11-01,Fairfax,1918.2
2022-12-01,Fairfax,1907.04
2023-01-01,Fairfax,1964.1
2023-02-01,Fairfax,2036.35
2023-03-01,Fairfax,2103.95
2023-04-01,Fairfax,1945.8
2023-05-01,Fairfax,1979.81
2023-06-01,Fairfax,1918.48
2023-07-01,Fairfax,1909.23
2023-08-01,Fairfax,1977.01
2023-09-01,Fairfax,1938.16
2023-10-01,Fairfax,1902.38
2023-11-01,Fairfax,2144.09
2023-12-01,Fairfax,2015.98
2024-01-01,Fairfax,2044.98
2024-02-01,Fairfax,2113.2
2024-03-01,Fairfax,2027.62
2024-04-01,Fairfax,2090.99
2024-05-01,Fairfax,2113.94
2024-06-01,Fairfax,2040.57
2024-07-01,Fairfax,1902.3
2024-08-01,Fairfax,1917.17
2024-09-01,Fairfax,1829.86
2024-10-01,Fairfax,2034.18
2024-11-01,Fairfax,1925.29
2024-12-01,Fairfax,2029.82
2018-01-01,Loudoun,1441.18
2018-02-01,Loudoun,1432.22
2018-03-01,Loudoun,1450.93
2018-04-01,Loudoun,1463.97
2018-05-01,Loudoun,1493.33
2018-06-01,Loudoun,1423.27
2018-07-01,Loudoun,1421.65
2018-08-01,Loudoun,1376.34
2018-09-01,Loudoun,1403.81
2018-10-01,Loudoun,1400.67
2018-11-01,Loudoun,1375.76
2018-12-01,Loudoun,1546.07
2019-01-01,Loudoun,1456.51
2019-02-01,Loudoun,1464.76
2019-03-01,Loudoun,1439.83
2019-04-01,Loudoun,1458.21
2019-05-01,Loudoun,1398.92
2019-06-01,Loudoun,1455.13
2019-07-01,Loudoun,1489.46
2019-08-01,Loudoun,1423.81
2019-09-01,Loudoun,1397.37
2019-10-01,Loudoun,1411.9
2019-11-01,Loudoun,1393.06
2019-12-01,Loudoun,1405.25
2020-01-01,Loudoun,1391.87
2020-02-01,Loudoun,1497.62
2020-03-01,Loudoun,1503.9
2020-04-01,Loudoun,1533.15
2020-05-01,Loudoun,1456.49
2020-06-01,Loudoun,1336.77
2020-07-01,Loudoun,1305.64
2020-08-01,Loudoun,1360.61
2020-09-01,Loudoun,1305.46
2020-10-01,Loudoun,1285.57
2020-11-01,Loudoun,1482.05
2020-12-01,Loudoun,1505.33
2021-01-01,Loudoun,1485.74
2021-02-01,Loudoun,1457.72
2021-03-01,Loudoun,1393.7
2021-04-01,Loudoun,1587.12
2021-05-01,Loudoun,1462.54
2021-06-01,Loudoun,1471.37
2021-07-01,Loudoun,1483.58
2021-08-01,Loudoun,1468.53
2021-09-01,Loudoun,1384.9
2021-10-01,Loudoun,1407.31
2021-11-01,Loudoun,1471.77
2021-12-01,Loudoun,1574.79
2022-01-01,Loudoun,1521.66
2022-02-01,Loudoun,1517.31
2022-03-01,Loudoun,1471.91
2022-04-01,Loudoun,1584.13
2022-05-01,Loudoun,1454.27
2022-06-01,Loudoun,1470.99
2022-07-01,Loudoun,1412.13
2022-08-01,Loudoun,1413.35
2022-09-01,Loudoun,1434.6
2022-10-01,Loudoun,1505.68
2022-11-01,Loudoun,1486.29
2022-12-01,Loudoun,1517.06
2023-01-01,Loudoun,1589.61
2023-02-01,Loudoun,1552.32
2023-03-01,Loudoun,1649.19
2023-04-01,Loudoun,1563.43
2023-05-01,Loudoun,1517.81
2023-06-01,Loudoun,1637.2
2023-07-01,Loudoun,1621.53
2023-08-01,Loudoun,1547.44
2023-09-01,Loudoun,1443.26
2023-10-01,Loudoun,1439.76
2023-11-01,Loudoun,1501.94
2023-12-01,Loudoun,1566.63
2024-01-01,Loudoun,1373.35
2024-02-01,Loudoun,1624.41
2024-03-01,Loudoun,1552.27
2024-04-01,Loudoun,1686.64
2024-05-01,Loudoun,1664.53
2024-06-01,Loudoun,1633.59
2024-07-01,Loudoun,1552.43
2024-08-01,Loudoun,1546.64
2024-09-01,Loudoun,1530.94
2024-10-01,Loudoun,1510.56
2024-11-01,Loudoun,1524.42
2024-12-01,Loudoun,1594.22
2018-01-01,Prince William,1236.86
2018-02-01,Prince William,1323.11
2018-03-01,Prince William,1253.23
2018-04-01,Prince William,1326.76
2018-05-01,Prince William,1326.19
2018-06-01,Prince William,1250.04
2018-07-01,Prince William,1263.43
2018-08-01,Prince William,1291.72
2018-09-01,Prince William,1220.87
2018-10-01,Prince William,1218.65
2018-11-01,Prince William,1264.32
2018-12-01,Prince William,1255.88
2019-01-01,Prince William,1405.86
2019-02-01,Prince William,1341.23
2019-03-01,Prince William,1338.96
2019-04-01,Prince William,1373.45
2019-05-01,Prince William,1346.23
2019-06-01,Prince William,1316.23
2019-07-01,Prince William,1279.62
2019-08-01,Prince William,1249.14
2019-09-01,Prince William,1210.84
2019-10-01,Prince William,1334.06
2019-11-01,Prince William,1334.06
2019-12-01,Prince William,1341.23
2020-01-01,Prince William,1351.67
2020-02-01,Prince William,1339.05
2020-03-01,Prince William,1342.29
2020-04-01,Prince William,1299.79
2020-05-01,Prince William,1248.97
2020-06-01,Prince William,1197.79
2020-07-01,Prince William,1326.57
2020-08-01,Prince William,1273.2
2020-09-01,Prince William,1220.21
2020-10-01,Prince William,1196.71
2020-11-01,Prince William,1299.93
2020-12-01,Prince William,1332.26
2021-01-01,Prince William,1408.77
2021-02-01,Prince William,1467.79
2021-03-01,Prince William,1387.13
2021-04-01,Prince William,1399.77
2021-05-01,Prince William,1337.98
2021-06-01,Prince William,1323.48
2021-07-01,Prince William,1328.89
2021-08-01,Prince William,1286.83
2021-09-01,Prince William,1351.05
2021-10-01,Prince William,1332.92
2021-11-01,Prince William,1358.79
2021-12-01,Prince William,1381.07
2022-01-01,Prince William,1424.34
2022-02-01,Prince William,1462.57
2022-03-01,Prince William,1388.69
2022-04-01,Prince William,1437.04
2022-05-01,Prince William,1342.12
2022-06-01,Prince William,1356.48
2022-07-01,Prince William,1404.7
2022-08-01,Prince William,1251.52
2022-09-01,Prince William,1319.63
2022-10-01,Prince William,1341.53
2022-11-01,Prince William,1378.88
2022-12-01,Prince William,1354.77
2023-01-01,Prince William,1471.79
2023-02-01,Prince William,1505.94
2023-03-01,Prince William,1473.44
2023-04-01,Prince William,1484.97
2023-05-01,Prince William,1507.82
2023-06-01,Prince William,1443.63
2023-07-01,Prince William,1359.19
2023-08-01,Prince William,1380.15
2023-09-01,Prince William,1428.14
2023-10-01,Prince William,1328.07
2023-11-01,Prince William,1375.4
2023-12-01,Prince William,1433.37
2024-01-01,Prince William,1494.03
2024-02-01,Prince William,1449.43
2024-03-01,Prince William,1446.05
2024-04-01,Prince William,1435.44
2024-05-01,Prince William,1438.17
2024-06-01,Prince William,1471.64
2024-07-01,Prince William,1508.08
2024-08-01,Prince William,1371.95
2024-09-01,Prince William,1356.75
2024-10-01,Prince William,1399.95
2024-11-01,Prince William,1495.91
2024-12-01,Prince William,1603.98
2018-01-01,Alexandria,1677.13
2018-02-01,Alexandria,1705.3
2018-03-01,Alexandria,1698.26
2018-04-01,Alexandria,1632.2
2018-05-01,Alexandria,1657.71
2018-06-01,Alexandria,1590.52
2018-07-01,Alexandria,1608.34
2018-08-01,Alexandria,1691.13
2018-09-01,Alexandria,1642.17
2018-10-01,Alexandria,1567.75
2018-11-01,Alexandria,1685.02
2018-12-01,Alexandria,1664.74
2019-01-01,Alexandria,1671.78
2019-02-01,Alexandria,1696.28
2019-03-01,Alexandria,1729.02
2019-04-01,Alexandria,1644.87
2019-05-01,Alexandria,1656.45
2019-06-01,Alexandria,1644.02
2019-07-01,Alexandria,1683.01
2019-08-01,Alexandria,1638.2
2019-09-01,Alexandria,1582.31
2019-10-01,Alexandria,1588.34
2019-11-01,Alexandria,1608.84
2019-12-01,Alexandria,1697.57
2020-01-01,Alexandria,1619.29
2020-02-01,Alexandria,1782.41
2020-03-01,Alexandria,1728.83
2020-04-01,Alexandria,1753.01
2020-05-01,Alexandria,1556.26
2020-06-01,Alexandria,1510.36
2020-07-01,Alexandria,1600.57
2020-08-01,Alexandria,1480.94
2020-09-01,Alexandria,1570.9
2020-10-01,Alexandria,1523.86
2020-11-01,Alexandria,1651.41
2020-12-01,Alexandria,1663.07
2021-01-01,Alexandria,1761.24
2021-02-01,Alexandria,1749.38
2021-03-01,Alexandria,1684.81
2021-04-01,Alexandria,1692.28
2021-05-01,Alexandria,1700.04
2021-06-01,Alexandria,1747.91
2021-07-01,Alexandria,1735.09
2021-08-01,Alexandria,1656.98
2021-09-01,Alexandria,1654.48
2021-10-01,Alexandria,1745.71
2021-11-01,Alexandria,1752.7
2021-12-01,Alexandria,1683.4
2022-01-01,Alexandria,1734.88
2022-02-01,Alexandria,1737.76
2022-03-01,Alexandria,1866.37
2022-04-01,Alexandria,1818.37
2022-05-01,Alexandria,1774.73
2022-06-01,Alexandria,1776.21
2022-07-01,Alexandria,1684.5
2022-08-01,Alexandria,1644.17
2022-09-01,Alexandria,1708.91
2022-10-01,Alexandria,1708.12
2022-11-01,Alexandria,1788.85
2022-12-01,Alexandria,1808.85
2023-01-01,Alexandria,1806.96
2023-02-01,Alexandria,1728.77
2023-03-01,Alexandria,1807.63
2023-04-01,Alexandria,1864.88
2023-05-01,Alexandria,1748.16
2023-06-01,Alexandria,1814.16
2023-07-01,Alexandria,1721.44
2023-08-01,Alexandria,1801.17
2023-09-01,Alexandria,1742.45
2023-10-01,Alexandria,1676.75
2023-11-01,Alexandria,1772.29
2023-12-01,Alexandria,1786.81
2024-01-01,Alexandria,1804.73
2024-02-01,Alexandria,1808.74
2024-03-01,Alexandria,1860.85
2024-04-01,Alexandria,1848.93
2024-05-01,Alexandria,1725.0
2024-06-01,Alexandria,1803.89
2024-07-01,Alexandria,1858.16
2024-08-01,Alexandria,1833.53
2024-09-01,Alexandria,1740.94
2024-10-01,Alexandria,1737.06
2024-11-01,Alexandria,1824.65
2024-12-01,Alexandria,1733.69
